Td	ID	  	Tj	Df	Dd	Db
7644	2658	499	263	6882	7145
7654	2198	149	76	7429	7505
7656	2301	226	116	7314	7430
7666	350		274	72	7320	7392
7670	2441	348	166	7156	7322
7673	236		166	48	7459	7507
7676	239		172	49	7455	7504
7683	278		223	60	7400	7460
7684	279		223	60	7401	7461
7691	2698	533	281	6877	7158
7692	602		464	121	7107	7228
7721	2728	548	289	6884	7173
7729	2485	372	180	7177	7357
7732	691		484	138	7110	7248
7735	2740	561	293	6881	7174
7739	860		625	173	6941	7114
7750	2755	565	302	6883	7185
7765	126		89	25	7651	7676
7769	2772	572	310	6887	7197
7777	2786	575	315	6887	7202
7789	405		320	89	7380	7469
7795	2821	582	327	6886	7213
7803	2164	100	65	7638	7703
7805	416		325	92	7388	7480
7809	2362	261	138	7410	7548
7814	2239	174	94	7546	7640
7824	175		120	34	7670	7704
7829	272		200	58	7571	7629
7830	64		46	13	7771	7784
7831	2541	420	204	7207	7411
7840	133		97	25	7718	7743
7846	2857	633	345	6868	7213
7846	2371	282	142	7422	7564
7852	458		342	98	7412	7510
7858	766		563	153	7142	7295
7863	2880	640	353	6870	7223
7866	147		104	28	7734	7762
7879	2889	653	351	6875	7226
7881	810		585	162	7134	7296
7889	604		468	123	7298	7421
7897	828		600	166	7131	7297
7909	497		373	105	7431	7536
7912	2594	438	233	7241	7474
7915	2601	439	236	7240	7476
7920	37		27	6	7887	7893
7920	855		625	170	7125	7295
7925	2934	683	365	6877	7242
7929	2942	685	369	6875	7244
7930	2944	685	370	6875	7245
7934	2132	74	49	7811	7860
7942	200		144	39	7759	7798
7947	308		242	66	7639	7705
7954	210		145	41	7768	7809
7954	904		648	184	7122	7306
7959	100		70	20	7869	7889
7964	2625	475	247	7242	7489
7971	2407	323	156	7492	7648
7980	546		408	113	7459	7572
7986	2288	223	111	7652	7763
7988	2415	336	159	7493	7652
7993	2293	223	113	7657	7770
