Td	ID	  	Tj	Df	Dd	Db
476	95		63	6	407	413
476	142		87	13	376	389
477	2711	416	10	51	61
479	2746	446	9	24	33
479	720		473	0	6	6
480	2721	418	21	41	62
481	2211	109	17	355	372
481	2722	418	0	63	63
481	2775	469	4	8	12
481	730		477	0	4	4
482	721		475	0	7	7
483	2734	440	0	43	43
483	718		473	0	10	10
484	178		103	16	365	381
484	733		479	0	5	5
485	2691	405	10	70	80
485	2783	474	0	11	11
485	155		89	14	382	396
486	2759	450	3	33	36
487	2747	446	15	26	41
487	2733	440	0	47	47
488	2150	81	14	393	407
488	2716	417	0	71	71
488	732		479	0	9	9
489	159		90	15	384	399
490	182		106	15	369	384
491	2730	440	14	37	51
491	2635	368	2	121	123
492	2157	82	15	395	410
492	2713	416	0	76	76
492	740		484	0	8	8
492	742		485	1	6	7
492	764		490	0	2	2
494	2718	417	27	50	77
494	760		489	0	5	5
495	2761	456	9	30	39
495	2768	458	1	36	37
496	2762	456	0	40	40
496	2782	474	2	20	22
496	2725	436	19	41	60
496	2795	483	0	13	13
496	131		82	9	405	414
496	746		487	0	9	9
497	2766	458	1	38	39
498	2772	461	3	34	37
498	2784	474	0	24	24
499	2705	415	0	84	84
499	2714	416	0	83	83
500	2265	134	20	346	366
500	2649	373	7	120	127
501	2744	445	15	41	56
501	768		494	0	7	7
503	772		495	0	8	8
503	781		498	0	5	5
504	2750	447	8	49	57
504	2812	494	0	10	10
505	2740	445	16	44	60
508	2321	180	25	303	328
508	791		504	1	3	4
509	2324	180	26	303	329
509	281		164	22	323	345
510	2786	476	7	27	34
510	2707	415	0	95	95
510	785		498	0	12	12
512	779		497	0	15	15
512	793		504	0	8	8
512	749		487	0	25	25
513	789		500	2	11	13
513	174		93	16	404	420
513	221		126	17	370	387
514	784		498	3	13	16
515	2756	450	13	52	65
515	2811	494	0	21	21
515	2757	450	8	57	65
516	2796	483	2	31	33
516	2763	456	5	55	60
516	2807	487	0	29	29
517	763		490	1	26	27
518	2329	181	26	311	337
518	2231	121	18	379	397
518	803		515	0	3	3
519	2787	476	1	42	43
519	2703	412	0	107	107
519	774		495	18	6	24
520	2238	122	19	379	398
520	2779	469	2	49	51
520	2792	481	7	32	39
521	2818	499	0	22	22
522	2829	507	0	15	15
522	2828	507	0	15	15
523	230		127	18	378	396
524	2780	474	1	49	50
524	2809	487	0	37	37
524	2835	512	0	12	12
524	2838	512	0	12	12
524	2824	500	0	24	24
524	801		515	0	9	9
525	815		518	0	7	7
525	100		66	8	451	459
525	806		517	0	8	8
525	777		497	0	28	28
526	2816	499	0	27	27
526	2764	456	4	66	70
526	2802	486	2	38	40
526	2836	512	0	14	14
527	2242	123	19	385	404
527	2800	486	2	39	41
527	2701	412	0	115	115
527	745		485	0	42	42
528	202		113	16	399	415
529	818		520	0	9	9
530	2848	519	0	11	11
530	830		525	0	5	5
530	743		485	0	45	45
531	2827	507	1	23	24
531	2826	507	1	23	24
532	2820	500	0	32	32
532	834		526	0	6	6
533	2839	512	0	21	21
533	353		196	28	309	337
534	2334	186	27	321	348
534	2207	107	16	411	427
534	2176	92	15	427	442
534	2814	494	2	38	40
534	736		484	0	50	50
535	2677	392	0	143	143
536	2840	518	6	12	18
536	2854	526	1	9	10
537	2847	519	0	18	18
537	2660	382	6	149	155
538	2669	385	3	150	153
539	2852	526	2	11	13
539	2684	395	0	144	144
540	2851	526	2	12	14
540	811		518	0	22	22
541	2640	369	7	165	172
