Td	ID	  	Tj	Df	Dd	Db
1428	2168	124	28	1276	1304
1428	2169	124	28	1276	1304
1430	367		304	84	1042	1126
1432	950		728	704	0	704
1439	384		308	87	1044	1131
1442	389		311	88	1043	1131
1447	191		153	38	1256	1294
1450	2050	63	12	1375	1387
1451	2217	156	32	1263	1295
1460	307		246	72	1142	1214
1467	2125	102	28	1337	1365
1470	314		250	74	1146	1220
1481	203		160	43	1278	1321
1482	416		331	93	1058	1151
1483	2099	77	26	1380	1406
1485	2129	104	29	1352	1381
1486	2035	40	9	1437	1446
1487	241		204	51	1232	1283
1493	949		728	765	0	765
1496	60		57	10	1429	1439
1496	43		44	11	1441	1452
1503	113		108	13	1382	1395
1503	135		122	15	1366	1381
1507	2067	68	16	1423	1439
1507	2014	23	5	1479	1484
1514	328		266	84	1164	1248
1522	439		351	94	1077	1171
1522	440		351	94	1077	1171
1526	2108	86	25	1415	1440
1535	2073	69	17	1449	1466
1538	256		212	56	1270	1326
1542	117		108	14	1420	1434
1547	2196	146	28	1373	1401
1551	262		219	62	1270	1332
1552	82		87	9	1456	1465
1552	264		219	63	1270	1333
1564	2158	115	31	1418	1449
1565	176		147	33	1385	1418
1566	178		147	34	1385	1419
1581	2077	73	18	1490	1508
1589	187		148	37	1404	1441
1602	370		304	85	1213	1298
1609	2389	307	53	1249	1302
1617	300		244	69	1304	1373
1622	926		720	902	0	902
1640	315		250	75	1315	1390
1646	197		160	41	1445	1486
1659	250		206	53	1400	1453
1665	2180	126	28	1511	1539
1666	489		438	69	1159	1228
1673	2030	39	8	1626	1634
1676	2218	156	32	1488	1520
1684	925		720	964	0	964
1684	445		352	95	1237	1332
1689	332		268	85	1336	1421
1699	2283	191	40	1468	1508
1700	156		139	28	1533	1561
1702	2098	77	25	1600	1625
1704	630		523	82	1099	1181
1710	2419	328	60	1322	1382
1714	2038	40	10	1664	1674
1720	2133	108	29	1583	1612
1729	920		711	1018	0	1018
1733	2232	168	33	1532	1565
1743	2141	111	29	1603	1632
1747	2142	111	30	1606	1636
1756	2110	86	25	1645	1670
1757	557		478	66	1213	1279
1758	900		700	1058	0	1058
1759	2111	86	25	1648	1673
1762	2148	112	30	1620	1650
1773	2244	174	36	1563	1599
1777	2294	212	40	1525	1565
1780	196		153	40	1587	1627
1781	303		246	70	1465	1535
1790	2298	212	40	1538	1578
1795	473		410	82	1303	1385
1796	866		662	1134	0	1134
1797	2113	91	25	1681	1706
1798	310		250	73	1475	1548
1799	400		325	91	1383	1474
1800	146		131	27	1642	1669
1801	407		326	93	1382	1475
1804	482		422	75	1307	1382
1810	2079	73	18	1719	1737
1811	865		662	1149	0	1149
1814	594		501	70	1243	1313
1815	2372	303	51	1461	1512
1817	2307	217	40	1560	1600
1819	94		93	11	1715	1726
1819	154		132	28	1659	1687
1819	92		93	10	1716	1726
1820	96		93	11	1716	1727
1823	321		264	79	1480	1559
1824	2254	179	38	1607	1645
1833	136		122	15	1696	1711
1843	863		662	1181	0	1181
1844	140		122	16	1706	1722
1848	2208	150	30	1668	1698
1855	749		600	89	1166	1255
1856	342		271	88	1497	1585
1865	263		219	62	1584	1646
1867	212		176	45	1646	1691
1868	217		176	46	1646	1692
1872	174		144	32	1696	1728
1873	2468	363	65	1445	1510
1873	2085	74	22	1777	1799
1875	2260	182	38	1655	1693
1876	224		177	48	1651	1699
1878	830		640	1238	0	1238
1879	2265	182	39	1658	1697
1882	269		234	62	1586	1648
1887	2356	267	47	1573	1620
1912	379		308	86	1518	1604
1921	294		243	68	1610	1678
1931	2104	77	26	1828	1854
1933	768		612	1321	0	1321
1935	2130	104	30	1801	1831
1937	572		489	66	1382	1448
1942	398		319	90	1533	1623
1949	2041	40	11	1898	1909
1954	480		422	75	1457	1532
1955	2226	167	32	1756	1788
1957	2066	68	16	1873	1889
1964	2237	168	34	1762	1796
1968	2046	42	13	1913	1926
1974	751		610	1364	0	1364
1975	319		264	78	1633	1711
1987	2072	69	17	1901	1918
1989	509		443	69	1477	1546
1993	2047	42	13	1938	1951
1995	139		122	16	1857	1873
2001	2295	212	40	1749	1789
2005	617		520	78	1407	1485
2005	619		520	78	1407	1485
2007	2297	212	40	1755	1795
2008	742		587	1421	0	1421
2010	2423	349	59	1602	1661
2010	626		523	81	1406	1487
2013	2200	146	28	1839	1867
2017	719		578	1439	0	1439
2029	177		147	34	1848	1882
2034	699		568	1466	0	1466
2035	182		147	36	1852	1888
2037	679		550	1487	0	1487
2041	2163	120	29	1892	1921
2043	359		300	83	1660	1743
2046	2257	179	38	1829	1867
2049	184		148	36	1865	1901
2049	185		148	154	1747	1901
2052	552		477	64	1511	1575
2052	553		477	64	1511	1575
